Block_ID,HDFS_BW,HDFSTranmissionTime,Mapper_ID,Mapper_VM_MIPS,MapExecutionTime ,MapperBW,MapperTransmissionTime,Reducer_ID,Reducer_VM_MIPS,ReducerExecutionTime ,ReducerBW,ReducerTransmissionTime,Block_ID,Block_BW,BlockTransmissionTime,TransactionTime
HDFS_Block_175,2.68,355.03,mapper174,656705,776.09,2.53,30.84,reducer1,150000,120,50,18.99,reducer1_Block_1,50,20,1320.95
HDFS_Block_175,2.68,355.03,mapper174,656705,776.09,2.75,27.18,reducer2,382530,480,4.48,212.22,reducer2_Block_1,3.7,270.02,2120.54
HDFS_Block_175,2.68,355.03,mapper174,656705,776.09,2.75,27.18,reducer3,150000,120,5.88,161.57,reducer3_Block_1,3.7,270.02,1709.89
HDFS_Block_175,2.68,355.03,mapper174,656705,776.09,3.74,20.17,reducer4,457419,480,5.88,161.53,reducer4_Block_1,3.7,270.02,2062.84
HDFS_Block_175,2.68,355.03,mapper174,656705,776.09,3.74,20.17,reducer5,150000,120,6.98,136.24,reducer5_Block_1,3.7,270.02,1677.55
HDFS_Block_175,2.68,355.03,mapper174,656705,776.09,3.74,20.17,reducer6,563904,480,3.8,250.14,reducer6_Block_1,3.7,270.02,2151.45
HDFS_Block_175,2.68,355.03,mapper174,656705,776.09,3.74,20.17,reducer7,150000,120,150,6.33,reducer7_Block_1,3.7,270.02,1547.64
HDFS_Block_175,2.68,355.03,mapper174,656705,776.09,11.54,6.44,reducer8,430890,480,3.8,250.14,reducer8_Block_1,3.7,270.02,2137.72
HDFS_Block_175,2.68,355.03,mapper174,656705,776.09,11.54,6.44,reducer9,150000,120,150,6.33,reducer9_Block_1,3.7,270.02,1533.91
HDFS_Block_186,2.68,355.03,mapper185,657263,777.43,2.42,31.38,reducer0,341739,480,3.8,250.14,reducer0_Block_1,0,0,1893.98
HDFS_Block_186,2.68,355.03,mapper185,657263,777.43,2.42,31.38,reducer1,150000,120,50,18.99,reducer1_Block_1,50,20,1322.83
HDFS_Block_186,2.68,355.03,mapper185,657263,777.43,2.69,27.62,reducer2,382530,480,4.48,212.22,reducer2_Block_1,3.7,270.02,2122.32
HDFS_Block_186,2.68,355.03,mapper185,657263,777.43,2.69,27.62,reducer3,150000,120,5.88,161.57,reducer3_Block_1,3.7,270.02,1711.67
HDFS_Block_186,2.68,355.03,mapper185,657263,777.43,3.65,20.48,reducer4,457419,480,5.88,161.53,reducer4_Block_1,3.7,270.02,2064.49
HDFS_Block_186,2.68,355.03,mapper185,657263,777.43,3.65,20.48,reducer5,150000,120,6.98,136.24,reducer5_Block_1,3.7,270.02,1679.2
HDFS_Block_186,2.68,355.03,mapper185,657263,777.43,3.65,20.48,reducer6,563904,480,3.8,250.14,reducer6_Block_1,3.7,270.02,2153.1
HDFS_Block_186,2.68,355.03,mapper185,657263,777.43,3.65,20.48,reducer7,150000,120,150,6.33,reducer7_Block_1,3.7,270.02,1549.29
HDFS_Block_186,2.68,355.03,mapper185,657263,777.43,6.82,10.97,reducer8,430890,480,3.8,250.14,reducer8_Block_1,3.7,270.02,2143.59
HDFS_Block_186,2.68,355.03,mapper185,657263,777.43,6.82,10.97,reducer9,150000,120,150,6.33,reducer9_Block_1,3.7,270.02,1539.78
HDFS_Block_143,2.68,355.03,mapper142,657800,778.72,2.53,28.22,reducer0,341739,480,3.8,250.14,reducer0_Block_1,0,0,1892.11
HDFS_Block_143,2.68,355.03,mapper142,657800,778.72,2.53,28.22,reducer1,150000,120,50,18.99,reducer1_Block_1,50,20,1320.96
HDFS_Block_143,2.68,355.03,mapper142,657800,778.72,2.7,27.16,reducer2,382530,480,4.48,212.22,reducer2_Block_1,3.7,270.02,2123.15
